,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
2573,Workflexi,,Bangalore,Information Technology,"Be Smart, Work on Contract,Be Smart, Hire on Contract",,,146000.0,Seed,2018,Non-tech
2574,Streak,,Bangalore,Financials,Algorithmic trading platform.,,,328500.0,Seed,2018,Non-tech
2575,Kuants,,Gurgaon,Financials,Algorithmic trading platform.,,,73000.0,Seed,2018,Non-tech
2576,NiYO Solutions,,Bangalore,Financials,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,,,13200000.0,Series A,2018,Non-tech
2580,Simulanis,,New Delhi,Communication Services,A Delhi-based Augmented Reality and Virtual Reality technology development company.,,,500000.0,Seed,2018,Non-tech
2581,MY CHIRAAG CAB,,Jaipur,Consumer Discretionary,MY CHIRAAG CAB SERVICES PVT LTD,,,1000000.0,Seed,2018,Non-tech
2583,Flathalt,,Gurgaon,Unstated,FInd your Customized Home here.,,,50000.0,Seed,2018,Non-tech
2584,True Elements,,Pune,Customer Staples,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,,,730000.0,Seed,2018,Non-tech
2585,Trendlyne Technologies,,Bangalore,Financials,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,,,200000.0,Seed,2018,Non-tech
2586,Planys Technologies,,Chennai,Industrials,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,,,2046920.0,Series A,2018,Non-tech
2587,HealthPlix,,Bangalore,Consumer Discretionary,HealthPlix is a healthtech startup,,,3000000.0,Series A,2018,Non-tech
2588,dishq,,Bengaluru,Unstated,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,,,400000.0,Seed,2018,Non-tech
2589,Entropik Technology,,Bengaluru,Information Technology,The boundaries between Human and Machines are shrinking fast.,,,1100000.0,Seed,2018,Non-tech
2590,myHQ,,Delhi,Communication Services,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,,,500000.0,Series A,2018,Non-tech
2591,Trell,,Bangalore,Unstated,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,,,1250000.0,Seed,2018,Non-tech
2592,Kidovators (by GyanLab),,Bangalore,Information Technology,Building future human capital through 21st Century Skills programs for K-12,,,180000.0,Seed,2018,Non-tech
2593,Log 9 Materials,,Uttar Pradesh,Information Technology,Log 9 Materials is a nano-materials manufacturing and RnD startup,,,438000.0,Seed,2018,Non-tech
2594,VTION,,Gurgaon,Information Technology,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,,,280320.0,Seed,2018,Non-tech
2595,HousingMan.com,,Bengaluru,Unstated,"New Apartments, Flats for Sale in Bangalore",,,1503800.0,Seed,2018,Non-tech
2597,RupeeCircle,,Mumbai,Financials,RupeeCircle is a new age finance company.,,,584000.0,Seed,2018,Non-tech
2598,Wooden Street,,Jaipur,Consumer Discretionary,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,,,1000000.0,Series A,2018,Tech
2599,The Ken,,Bengaluru,Communication Services,The Ken is India’s first subscriptions-only business news site,,,1500000.0,Series A,2018,Non-tech
2600,SaffronStays,,Mumbai,Unstated,SaffronStays connects travellers to India's Incredible hosts.,,,2000000.0,Seed,2018,Non-tech
2602,Foyr,,Pune,Consumer Discretionary,"Foyr.com is India's first online, automated interior designer",,,4200000.0,Series A,2018,Non-tech
2603,MEngage,,Jaipur,Health Care,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,,,175000.0,Seed,2018,Tech
2604,Inner Being Wellness,,Hyderabad,Unstated,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",,,511000.0,Seed,2018,Non-tech
2606,Wishberry,,Mumbai,Communication Services,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,,,1460000.0,Series A,2018,Non-tech
2607,McXtra,,Andheri,Financials,McXtra is a digital insurance broking startup.,,,1300000.0,Seed,2018,Non-tech
2609,SmartVizX,,Noida,Information Technology,It is a Virtual Reality Solutions StartUp,,,1450000.0,Seed,2018,Tech
2611,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,,Pune,Unstated,Digital Marketing Agency,,,2920.0,Seed,2018,Non-tech
2612,Scale Labs,,Delhi,Unstated,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,,,1000000.0,Seed,2018,Non-tech
2613,HungerBox,,Bengaluru,Consumer Discretionary,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,,,4500000.0,Series A,2018,Non-tech
2614,Biryani By Kilo,,Noida,Customer Staples,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,,,1000000.0,Seed,2018,Non-tech
2615,Wholesome Habits (EAT Anytime),,Mumbai,Information Technology,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,,,500000.0,Seed,2018,Non-tech
2616,GoBumpr,,Mylapore,Information Technology,Car Service and Bike Service Mobile App,,,600000.0,Seed,2018,Non-tech
2617,Fixpocket,,Ahmedabad,Communication Services,Fixpocket is a internet-based startup.,,,250000.0,Seed,2018,Non-tech
2618,edureka!,,Bangalore,Information Technology,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",,,2000000.0,Series A,2018,Non-tech
2620,Wow Express,,Mumbai,Customer Staples,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",,,4500000.0,Series A,2018,Non-tech
2621,ZunRoof,,Gurgaon,Industrials,ZunRoof is a rooftop focused solar startup.,,,242360.0,Seed,2018,Non-tech
2622,Eggoz,,Indore,Information Technology,Eggoz is a full-stack layer poultry business operator & service provider .,,,175200.0,Seed,2018,Non-tech
2623,Sqrrl Fintech,,Gurgaon,Information Technology,Personal Finance,,,1000000.0,Seed,2018,Non-tech
2625,IndiQube,,Bengaluru,Industrials,IndiQube is a provider of co-working spaces based in Bengaluru.,,,15000000.0,Series A,2018,Non-tech
2626,EGK Foods,,Mumbai,Information Technology,A food processing enterprise registered with StartUp India .,,,292000.0,Seed,2018,Non-tech
2627,NirogStreet,,Gurgaon,Information Technology,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,,,300000.0,Seed,2018,Non-tech
2628,Pixr8,,Ghaziabad,Communication Services,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,,,50000.0,Seed,2018,Non-tech
2629,Nivesh.com,,Noida,Financials,Nivesh.com is a mass market mutual funds investment platform.,,,438000.0,Seed,2018,Non-tech
2636,Hey Deedee,,Mumbai,Customer Staples,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,,,481800.0,Seed,2018,Non-tech
2637,DigiConnectt Technologys,,Bengaluru,Information Technology,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,,,125000.0,Seed,2018,Non-tech
2638,Locus.sh,,Bangalore,Information Technology,Locus is an intelligent logistics automation platform.,,,4000000.0,Series A,2018,Non-tech
2639,Sports Flashes Pvt. Ltd,,New Delhi,Customer Staples,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",,,1000000.0,Seed,2018,Non-tech
2641,Picxy,,Guntur,Information Technology,"A stock photo startup based in Amravati, Andhra Pradesh.",,,130000.0,Seed,2018,Non-tech
2642,Huddle,,Haryana,Industrials,A coworking incubator Company.,,,300000.0,Seed,2018,Non-tech
2644,Cash Suvidha,,New Delhi,Financials,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,,,1000000.0,Seed,2018,Non-tech
2645,Smartcoin,,Bangalore,Information Technology,Providing financial access to the millions of mobile users in India using alternative credit assessment,,,2000000.0,Seed,2018,Non-tech
2647,Roadcast,,New Delhi,Unstated,Transforming the way businesses deliver. Work-force & fleet mobility tools.,,,250000.0,Seed,2018,Non-tech
2648,Printline Media(ThePrint),,New Delhi,Communication Services,A digital news platform.,,,509540.0,Seed,2018,Non-tech
2651,Doxper,,Mumbai,Health Care,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,,,1051200.0,Seed,2018,Tech
2652,i2ifunding,,Noida,Communication Services,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,,,730000.0,Seed,2018,Non-tech
2655,Fasal,,Bengaluru,Information Technology,Climate Smart Precision Agriculture Platform,,,120000.0,Seed,2018,Non-tech
2656,CoinGeto,,Delhi,Financials,CoinGeto is one of India’s most advanced digital assets exchange.,,,1752000.0,Seed,2018,Non-tech
2657,Avail Finance,,Bangalore,Financials,Avail is a mobile-first platform aiming to financially include the urban mass of India.,,,17200000.0,Series A,2018,Non-tech
2658,Tripeur,,Bengaluru,Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,,,600000.0,Seed,2018,Tech
2661,Doubtnut,,Gurgaon,Information Technology,Gurgaon based E-learning platform.,,,511000.0,Seed,2018,Non-tech
2662,MCaffeine,,Mumbai,Consumer Discretionary,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,,,467200.0,Seed,2018,Non-tech
2663,TrustCheckr,,Bengaluru,Information Technology,A Bengaluru-based fraud analytics solution provider .,,,100000.0,Seed,2018,Tech
2664,HealthAssure,,Mumbai,Consumer Discretionary,HealthAssure provides access to Discounted & High Quality primary care medical network.,,,1000000.0,Seed,2018,Non-tech
2665,Picture TIme,,New Delhi,Communication Services,Operator of low-cost mobile cinema theatres in rural areas.,,,3650000.0,Seed,2018,Non-tech
2666,1Crowd,,Mumbai,Industrials,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,,,3500000.0,Seed,2018,Non-tech
2668,Wellthy Therapeutics Pvt Ltd,,Mumbai,Health Care,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",,,1971000.0,Seed,2018,Tech
2670,Kuvera.in,,Bangalore,Financials,An online platform for mutual fund investments.,,,250000.0,Seed,2018,Non-tech
2671,Livehealth,,Pune,Health Care,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,,,1100000.0,Seed,2018,Tech
2672,Gramophone,,Indore,Customer Staples,An agricultural inputs startup Company.,,,1000000.0,Seed,2018,Non-tech
2674,Buddy4Study.com,,Noida,Consumer Discretionary,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,,,3000000.0,Series A,2018,Non-tech
2678,Toffee,,Gurgaon,Unstated,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",,,1500000.0,Seed,2018,Non-tech
2679,ORO Wealth,,Mumbai,Unstated,Online wealth management platform,,,1600000.0,Series A,2018,Non-tech
2680,HealWell24,,Mumbai,Customer Staples,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",,,200000.0,Seed,2018,Non-tech
2681,Acko General Insurance,,Mumbai,Financials,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,,,12000000.0,Series A,2018,Non-tech
2682,arzooo.com,,Bangalore,Consumer Discretionary,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,,,219000.0,Seed,2018,Non-tech
2683,Bonphul Air Products,,Delhi,Information Technology,A clean tech product Company,,,292000.0,Seed,2018,Non-tech
2685,Edyoo,,Bengaluru,Industrials,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",,,1000000.0,Seed,2018,Non-tech
2686,Chtrbox,,Mumbai,Information Technology,Chtrbox connects social media influencers with brands .,,,146000.0,Seed,2018,Non-tech
2687,Aashiyaan Housing and Development Finance,,Kolkata,Financials,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,,,1971000.0,Seed,2018,Non-tech
2688,BetterPlace Safety Solutions Pvt. Ltd.,,Bangalore,Information Technology,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",,,3000000.0,Series A,2018,Non-tech
2689,Cashkumar,,Bengaluru,Consumer Discretionary,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,,,730000.0,Seed,2018,Non-tech
2690,Rocketium,,Bangalore,Financials,Easy video creation for social media.,,,292000.0,Seed,2018,Non-tech
2693,mfine,,Bengaluru,Health Care,Hospital & Health Care Start up,,,4200000.0,Series A,2018,Tech
2694,Earth Food,,Pune,Information Technology,Earth Food is a healthy Food Start Up.,,,934400.0,Seed,2018,Non-tech
2695,Charcoal Eats,,Mumbai,Customer Staples,Charcoal Eats aims to bring Dominos style standardisation.,,,730000.0,Seed,2018,Non-tech
2702,Wicked Ride Adventure Services Private Limited,,Bangalore,Information Technology,Peer-to-Peer motor vehicles sharing,,,10000000.0,Others,2018,Non-tech
2703,Career Anna,,Bangalore,Industrials,India's Go to Career Commerce Portal,,,584000.0,Seed,2018,Non-tech
2704,ERUDITUS Executive Education,,Mumbai,Industrials,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",,,40000000.0,Series C,2018,Non-tech
2706,Square Off,,Mumbai,Information Technology,Delivering Imagination,,,1100000.0,Seed,2018,Non-tech
2707,UrbanClap,,Delhi,Information Technology,UrbanClap is India's leading managed marketplace for home services.,,,50000000.0,Later stage,2018,Non-tech
2708,Hospals,,New Delhi,Health Care,Hospals is a medical tourism company.,,,1500000.0,Seed,2018,Non-tech
2709,Kogta Financial India Limited,,Jaipur,Financials,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,,,22484000.0,Series B,2018,Non-tech
